Product,category,prix,commission
TENNIS TRAINING EQUIPMENT,TOYS & GAMES,18.0,24.0
3 IN 1 SOCCER HOCKEY SET,TOYS & GAMES,22.0,21.0
RUBBER SHOCK ABSORBER,CARS & ACCESSORIES,17.0,20.0
AROMA LAMP,"HOME, GARDEN & FURNITURE",18.0,21.0
EYELASH CURLER ELECTRIC (WHITE),HEALTH & BEAUTY,18.0,22.0
SMALL ELECTRIC MASSAGER - KWT,HEALTH & BEAUTY,17.0,24.0
BODY SHAPING BELT - KWT,HEALTH & BEAUTY,15.0,20.0
HAROUF PERFUME,HEALTH & BEAUTY,20.0,22.0
SHOULDER SPRAY PAIN RELIEF -KWT,HEALTH & BEAUTY,16.0,20.0
YELLOW PEEL OIL - KWT,HEALTH & BEAUTY,16.0,20.0
MENISCUS PASTE -KWT,HEALTH & BEAUTY,16.0,21.0
COLLAGEN FIRMING MASK - KWT,HEALTH & BEAUTY,19.0,25.0
FUNGUS FOOT SPRAY,HEALTH & BEAUTY,19.0,25.0
SPRAY HERBAL PILES,HEALTH & BEAUTY,17.0,21.0
ADJUSTABLE SWIVEL SPOUT,"HOME, GARDEN & FURNITURE",25.0,25.0
HIP SUPPORT BRACE,HEALTH & BEAUTY,19.0,23.0
CAR DEODORIZER,CARS & ACCESSORIES,18.0,23.0
MULTI-PURPOSE LIGHTER,ELECTRONICS & ACCESSORIES,18.0,22.0
FRECKLE REMOVER,HEALTH & BEAUTY,17.0,20.0
EARWAX REMOVAL TOOL - KWT,HEALTH & BEAUTY,18.0,21.0
ELECTRIC PEDICURE DEVICE - KWT,HEALTH & BEAUTY,16.0,21.0
LIP SERUM - KWT,HEALTH & BEAUTY,16.0,22.0
TEETH WHITENING GEL - KWT,HEALTH & BEAUTY,16.0,23.0
COLLAGEN FACE SERUM SET - KWT,HEALTH & BEAUTY,17.0,21.0
ELECTRIC MINI SHAVER - KWT,ELECTRONICS & ACCESSORIES,17.0,24.0
SLIMMING PATCH -KWT,HEALTH & BEAUTY,16.0,21.0
ELECTRIC FOOT MASSAGER - KWT,HEALTH & BEAUTY,17.0,23.0
BLACK HAIR SHAMPOO - KWT,HEALTH & BEAUTY,16.0,20.0
MOBILE PHONE HOLDER - KWT,CARS & ACCESSORIES,16.0,21.0
LED MOTION SENSOR - KWT,ELECTRONICS & ACCESSORIES,21.0,22.0
ARABIC EDUCATIONAL BOOKS,EDUCATION,17.0,22.0
MASSAGE DEVICE - KWT,HEALTH & BEAUTY,18.0,21.0
CUPPING THERAPY MASSAGER - KWT,HEALTH & BEAUTY,21.0,21.0
GINGER HAIR GROWTH NOURISHING SPRAY,HEALTH & BEAUTY,19.0,22.0
VACUUM FOOD SEALER,"HOME, GARDEN & FURNITURE",17.0,20.0
CURTAIN LIGHTS,"HOME, GARDEN & FURNITURE",19.0,20.0
WATERPROOF EXPANDABLE HANDBAG,HEALTH & BEAUTY,21.0,25.0
NEOPRENE ARM SHAPER,HEALTH & BEAUTY,19.0,22.0
CROSSBODY BAG FOR WOMEN,"HOME, GARDEN & FURNITURE",19.0,22.0
MULTIFUNCTIONAL BROOM,"HOME, GARDEN & FURNITURE",19.0,22.0
MOSAIC PUZZLE TOY,EDUCATION,19.0,22.0
MULTIFUNCTIONAL SHOVEL,CARS & ACCESSORIES,25.0,25.0
CAR WASH FOAM GUN KWT,CARS & ACCESSORIES,25.0,25.0
SINK CLEANING HOOK,"HOME, GARDEN & FURNITURE",19.0,25.0
HAIR REMOVAL TOOL,HEALTH & BEAUTY,19.0,24.0
