Product,category,prix,commission
SHOULDER BAG,"CLOTHING, SHOES & JEWELRY",259.0,60.0
KIT DE FER À SOUDER PORTABLE,ELECTRONICS & ACCESSORIES,219.0,50.0
SUPPORT DE VOLANT DE VOITURE,CARS & ACCESSORIES,199.0,50.0
FLEX GEL,HEALTH & BEAUTY,219.0,80.0
SPRAY MYCOSE DES ONGLES,HEALTH & BEAUTY,159.0,65.0
CHIN LIFT MASK,HEALTH & BEAUTY,135.0,50.0
CAPSULE DÉSINTOXICATION POUMON,HEALTH & BEAUTY,199.0,70.0
CAR SCRATCH RESISTANT PAINT,CARS & ACCESSORIES,159.0,60.0
LATEX FITNESS BANDS,HEALTH & BEAUTY,185.0,50.0
MONTRE INTELLIGENTE POUR ENFANTS,ELECTRONICS & ACCESSORIES,279.0,70.0
FLOOR CLEAN MOP,"HOME, GARDEN & FURNITURE",179.0,60.0
BODY SLIMMING BELT,HEALTH & BEAUTY,169.0,60.0
CRÈME DE RESSERREMENT VAGINAL,HEALTH & BEAUTY,199.0,70.0
GEL NETTOYANT AU GEL D'ESCARGOT,HEALTH & BEAUTY,199.0,70.0
MASQUE NATUREL ANTI-CHUTE,HEALTH & BEAUTY,199.0,65.0
MIRROR STICKER ACRYLIC,"HOME, GARDEN & FURNITURE",165.0,50.0
FIRE BLANKET,"HOME, GARDEN & FURNITURE",265.0,90.0
ELECTRIC MINI FOOD CHOPPER,"HOME, GARDEN & FURNITURE",199.0,60.0
MULTIFUNCTION MANUAL CAN OPENER,"HOME, GARDEN & FURNITURE",159.0,60.0
MOSQUITO LAMP,ELECTRONICS & ACCESSORIES,159.0,55.0
SÉRUM DE GRENADE NOIRE,HEALTH & BEAUTY,169.0,70.0
CRÈME POUR LES ARTICULATIONS ET LES OS,HEALTH & BEAUTY,189.0,60.0
JOINT CREAM,HEALTH & BEAUTY,179.0,60.0
THÉ DE PERTE DE POIDS,HEALTH & BEAUTY,189.0,55.0
CAPSULE DE CROISSANCE,HEALTH & BEAUTY,169.0,60.0
LAMPE SOLAIRE LED,"HOME, GARDEN & FURNITURE",289.0,70.0
TRAIN DOMINO POUR LES ENFANTS,TOYS & GAMES,259.0,70.0
PISTOLET À SOUDER HAUTE PUISSANCE,"HOME, GARDEN & FURNITURE",289.0,70.0
ENSEMBLE DE PINCES À FIL,"HOME, GARDEN & FURNITURE",289.0,70.0
ROBINET D'EAU MULTIFONCTIONNEL,"HOME, GARDEN & FURNITURE",239.0,65.0
BANDES DE BLANCHIMENT DES DENTS,HEALTH & BEAUTY,199.0,55.0
SPRAY NETTOYANT D'INTÉRIEUR DE VOITURE,CARS & ACCESSORIES,189.0,60.0
MINI HAUT-PARLEUR ETANCHE,ELECTRONICS & ACCESSORIES,199.0,50.0
COLLE A FORTE ADHÉRENCE,"HOME, GARDEN & FURNITURE",179.0,60.0
GRAY WAIST BELT,"CLOTHING, SHOES & JEWELRY",219.0,65.0
ELECTRONIC ACUPUNCTURE PEN,HEALTH & BEAUTY,269.0,90.0
EDUCATION LEARNING DEVICE,EDUCATION,239.0,70.0
CUP WASHER,"HOME, GARDEN & FURNITURE",179.0,50.0
WATERPROOF KITCHEN TAPE - WHITE,"HOME, GARDEN & FURNITURE",169.0,55.0
THÉRAPIE LASER PORTABLE,HEALTH & BEAUTY,179.0,40.0
SÉRUM ANTI-MAUVAISE HALEINE,HEALTH & BEAUTY,179.0,60.0
