Product,category,prix,commission
BLACK HAIR SHAMPOO - OMN,HEALTH & BEAUTY,21.0,21.0
HAIR NATURAL SHAMPOO,HEALTH & BEAUTY,21.0,23.0
FRECKLE REMOVER,HEALTH & BEAUTY,21.0,20.0
SUNSHINE GLOW KIT,HEALTH & BEAUTY,21.0,20.0
BODY SHAPING BELT - OMN,HEALTH & BEAUTY,22.0,20.0
MENISCUS PASTE -OMN,HEALTH & BEAUTY,21.0,20.0
SPRAY HERBAL PILES,HEALTH & BEAUTY,21.0,20.0
YELLOW PEEL OIL - OMN,HEALTH & BEAUTY,21.0,21.0
JAYSUING HAIR TREATMENT - OMN,HEALTH & BEAUTY,19.0,20.0
LIP SERUM - OMN,HEALTH & BEAUTY,20.0,22.0
FOAM TEETH WHITENING - OMN,HEALTH & BEAUTY,20.0,21.0
TEETH WHITENING GEL - OMN,HEALTH & BEAUTY,20.0,22.0
ELECTRIC PEDICURE DEVICE - OMN,HEALTH & BEAUTY,20.0,20.0
ELECTRIC MINI SHAVER - OMN,ELECTRONICS & ACCESSORIES,20.0,21.0
MOBILE PHONE HOLDER - OMN,CARS & ACCESSORIES,20.0,21.0
SMALL ELECTRIC MASSAGER - OMN,HEALTH & BEAUTY,20.0,21.0
AUTOMATIC WATER SPRAY - OMN,"HOME, GARDEN & FURNITURE",21.0,23.0
PORTABLE HANDY SEWING MACHINE,"HOME, GARDEN & FURNITURE",21.0,20.0
RECHARGEABLE MULTIFUNCTION SHAVER,HEALTH & BEAUTY,21.0,20.0
AUTOMATIC HAIR BRAIDER,HEALTH & BEAUTY,29.0,24.0
HEADPHONES TWS,CARS & ACCESSORIES,26.0,25.0
WALLET GPS,HEALTH & BEAUTY,25.0,25.0
