Product,category,prix,commission
3 IN 1 SOCCER HOCKEY SET,TOYS & GAMES,249.0,20.0
AROMA LAMP,"HOME, GARDEN & FURNITURE",215.0,22.0
YELLOW PEEL OIL - QAT,HEALTH & BEAUTY,179.0,20.0
ELECTRIC SHAVER FOR MEN,ELECTRONICS & ACCESSORIES,289.0,23.0
BLACK HAIR SHAMPOO - QAT,HEALTH & BEAUTY,189.0,21.0
DIGITAL SPOON SCALE - QAT,"HOME, GARDEN & FURNITURE",249.0,20.0
4 IN 1 PORTABLE ELECTRIC VEGETABLE CUTTER - QAT,"HOME, GARDEN & FURNITURE",199.0,20.0
FLASHLIGHT STICK,ELECTRONICS & ACCESSORIES,239.0,22.0
ROSE NECKLACE,HEALTH & BEAUTY,209.0,21.0
HIP SUPPORT BRACE,HEALTH & BEAUTY,219.0,21.0
CAR DEODORIZER,CARS & ACCESSORIES,209.0,21.0
SPRAY TO TREAT HEMORRHOIDS,HEALTH & BEAUTY,199.0,20.0
FOOT REST PILLOW,HEALTH & BEAUTY,209.0,20.0
ELECTRIC HAIR STEAMER WITH COMB,HEALTH & BEAUTY,219.0,20.0
JAYSUING HAIR TREATMENT - QAT,HEALTH & BEAUTY,189.0,20.0
COLLAGEN FACE SERUM SET - QAT,HEALTH & BEAUTY,199.0,20.0
LIP SERUM - QAT,HEALTH & BEAUTY,189.0,21.0
NECK AND SHOULDER MASSAGER,HEALTH & BEAUTY,249.0,20.0
KNEE BRACE SUPPORT - QAT,"CLOTHING, SHOES & JEWELRY",199.0,20.0
MAGIC BOOK FOR CHILDREN,EDUCATION,199.0,20.0
SMALL ELECTRIC MASSAGER - QAT,HEALTH & BEAUTY,199.0,23.0
STYLISH WRISTWATCH,ELECTRONICS & ACCESSORIES,199.0,20.0
ENERGY SAVING CORDLESS LIGHT - QAT,ELECTRONICS & ACCESSORIES,249.0,20.0
LIGHTED MIRROR FAN - QAT,HEALTH & BEAUTY,199.0,20.0
FOOT MASSAGER - QAT,HEALTH & BEAUTY,249.0,20.0
DOUBLE NON STICK FRYING PAN - QAT,"HOME, GARDEN & FURNITURE",299.0,25.0
ELECTRIC MINI SHAVER - QAT,ELECTRONICS & ACCESSORIES,189.0,21.0
MOBILE PHONE HOLDER - QAT,CARS & ACCESSORIES,199.0,23.0
ELECTRIC PEDICURE DEVICE - QAT,HEALTH & BEAUTY,199.0,21.0
LED MOTION SENSOR - QAT,ELECTRONICS & ACCESSORIES,199.0,20.0
TEETH WHITENING GEL - QAT,HEALTH & BEAUTY,189.0,22.0
MASSAGE DEVICE - QAT,HEALTH & BEAUTY,199.0,20.0
VEGGIESHARP 4-IN-1,"HOME, GARDEN & FURNITURE",219.0,20.0
YES FINISHING TOUCH - QAT,HEALTH & BEAUTY,199.0,25.0
CUPPING THERAPY,HEALTH & BEAUTY,219.0,20.0
CRYSTAL HAIR REMOVAL,HEALTH & BEAUTY,199.0,20.0
