Product,category,prix,commission
PINK PERFUME FOR WOMEN,HEALTH & BEAUTY,189.0,20.0
SLIMMING TEA BAGS,HEALTH & BEAUTY,189.0,21.0
6 IN 1 CHARGER DOCK,"HOME, GARDEN & FURNITURE",219.0,20.0
HAROUF PERFUME,HEALTH & BEAUTY,179.0,20.0
ROSEMARY SHAMPOO BAR,HEALTH & BEAUTY,169.0,20.0
MENISCUS PASTE - KSA,HEALTH & BEAUTY,169.0,20.0
JOINT PAIN RELIEF CREAM,HEALTH & BEAUTY,169.0,20.0
ARGAN HAIR MASK,HEALTH & BEAUTY,179.0,20.0
CLAY MASK,HEALTH & BEAUTY,179.0,20.0
FACE AND NECK MASSAGE DEVICE,ELECTRONICS & ACCESSORIES,179.0,21.0
CAR TRACKING DEVICE,CARS & ACCESSORIES,299.0,25.0
WATERPROOF SMART WATCH,ELECTRONICS & ACCESSORIES,229.0,22.0
SPRAY HERBAL PILES,HEALTH & BEAUTY,179.0,20.0
TENNIS TRAINING EQUIPMENT,TOYS & GAMES,189.0,22.0
3 IN 1 SOCCER HOCKEY SET,TOYS & GAMES,229.0,20.0
RUBBER SHOCK ABSORBER,CARS & ACCESSORIES,179.0,20.0
AROMA LAMP,"HOME, GARDEN & FURNITURE",189.0,20.0
TEETH CLEANING POWDER,HEALTH & BEAUTY,99.0,5.0
MOISTURE HAIR MASK,HEALTH & BEAUTY,169.0,21.0
EYELASH CURLER ELECTRIC (WHITE),HEALTH & BEAUTY,189.0,20.0
MOBILE PHONE HOLDER - KSA,CARS & ACCESSORIES,189.0,24.0
YELLOW PEEL OIL,HEALTH & BEAUTY,175.0,23.0
KNEE PAIN RELIEF SPRAY,HEALTH & BEAUTY,179.0,20.0
MEMBRANE TEETH WHITENING,HEALTH & BEAUTY,169.0,20.0
SILICONE INSTEP PADS,"CLOTHING, SHOES & JEWELRY",179.0,20.0
CREAM OINTMENT ARTHRITIS,HEALTH & BEAUTY,179.0,20.0
SMART WATCH T800,ELECTRONICS & ACCESSORIES,179.0,16.0
FAT BURNING CREAM,HEALTH & BEAUTY,259.0,34.0
FAT REMOVAL CREAM,HEALTH & BEAUTY,199.0,23.0
FAT DISSOLVING CREAM,HEALTH & BEAUTY,189.0,20.0
