Product,category,prix,commission
CAR TRACKING DEVICE,CARS & ACCESSORIES,299.0,25.0
JOINT TREATMENT GEL,HEALTH & BEAUTY,189.0,20.0
TENNIS TRAINING EQUIPMENT,TOYS & GAMES,199.0,20.0
AROMA LAMP,"HOME, GARDEN & FURNITURE",219.0,20.0
ACNE TREATMENT CREAM,HEALTH & BEAUTY,199.0,23.0
HIP SUPPORT BRACE,HEALTH & BEAUTY,199.0,20.0
GINGER HAIR GROWTH SERUM,HEALTH & BEAUTY,189.0,20.0
FOOT REST PILLOW,HEALTH & BEAUTY,199.0,21.0
FRECKLE REMOVER,HEALTH & BEAUTY,169.0,21.0
SPRAY HERBAL PILES,HEALTH & BEAUTY,189.0,20.0
ACADIBOL CAPSULES,HEALTH & BEAUTY,219.0,20.0
BE HEALTHY - UAE,HEALTH & BEAUTY,249.0,16.0
STRENGTHEN MUSCLES CAPSULES,HEALTH & BEAUTY,199.0,20.0
JAYSUING HAIR TREATMENT - UAE,HEALTH & BEAUTY,189.0,20.0
BLACK HAIR SHAMPOO - UAE,HEALTH & BEAUTY,199.0,23.0
ELECTRIC MINI SHAVER -UAE,ELECTRONICS & ACCESSORIES,189.0,23.0
MOBILE PHONE HOLDER - UAE,CARS & ACCESSORIES,199.0,24.0
SMALL ELECTRIC MASSAGER - UAE,HEALTH & BEAUTY,189.0,23.0
ELECTRIC PEDICURE DEVICE -UAE,HEALTH & BEAUTY,199.0,24.0
LIP SERUM - UAE,HEALTH & BEAUTY,179.0,22.0
TEETH WHITENING GEL - UAE,HEALTH & BEAUTY,179.0,23.0
EYEBROW CONDENSER,HEALTH & BEAUTY,269.0,20.0
EYESHADOW PEN,HEALTH & BEAUTY,269.0,20.0
BUTTERFLY KIT,HEALTH & BEAUTY,269.0,20.0
MAGNETIC EYELASHES,HEALTH & BEAUTY,279.0,20.0
AUTOMATIC WATER SPRAY - UAE,"HOME, GARDEN & FURNITURE",189.0,22.0
SILICONE STRAPLESS LARGE,"CLOTHING, SHOES & JEWELRY",199.0,22.0
HEART GUASHA STONE,HEALTH & BEAUTY,170.0,18.0
LASER HAIR COMB,HEALTH & BEAUTY,179.0,20.0
CORDLESS CHARGER,CARS & ACCESSORIES,179.0,20.0
PORTABLE WATER PUMP,CARS & ACCESSORIES,179.0,20.0
SMALL VEGETABLE SLICER,"HOME, GARDEN & FURNITURE",179.0,20.0
CAR DRINK BOTTLE HOLDER,CARS & ACCESSORIES,179.0,20.0
CAR VENTILATION FAN,CARS & ACCESSORIES,179.0,20.0
ELECTRIC SPICE GRINDER UAE,"HOME, GARDEN & FURNITURE",199.0,22.0
RAINBOW STEEL WOOL,CARS & ACCESSORIES,199.0,22.0
KNEE JOINT SUPPORT DEVICE UAE,HEALTH & BEAUTY,199.0,22.0
HAIR FILLING POWDER,HEALTH & BEAUTY,199.0,22.0
CERAMIC FOR CAR COATING,CARS & ACCESSORIES,199.0,20.0
